时间,价格(usd),成交额,市值
"2021-10-14 00:00","1.0020461163","12881658.9635366201","6369839043.1078367233",
"2021-10-13 00:00","1.0011132652","15705713.8833326027","6363909065.3467016220",
"2021-10-12 00:00","1.0018939690","16947161.6143059433","6368871868.5562229156",
"2021-10-11 00:00","1.0021566685","18495136.3629251793","6370541805.1956501007",
"2021-10-10 00:00","1.0026250116","7572024.9285545759","6373518983.3314914703",
"2021-10-09 00:00","1.0027195658","12839767.3223623075","6374120048.8612022400",
"2021-10-08 00:00","1.0008468307","19687347.5136261247","6362215385.9410867691",
"2021-10-07 00:00","1.0014151242","21068783.5477303006","6365827932.4382266998",
"2021-10-06 00:00","1.0019361245","18689081.0799006410","6369139843.8538999557",
"2021-10-05 00:00","1.0013208632","17760684.0890035443","6365228730.7487440109",
"2021-10-04 00:00","1.0020034871","11716754.0348451901","6369568056.3201961517",
"2021-10-03 00:00","1.0022351108","8179030.4607371874","6371040449.4233236313",
"2021-10-02 00:00","1.0025857226","11087858.7777508870","6373269229.7351427078",
"2021-10-01 00:00","1.0015686716","19461630.7953060977","6366804007.2461996078",
"2021-09-30 00:00","1.0008736067","12480071.6185709443","6362385596.6493167877",
"2021-09-29 00:00","1.0010048534","8704715.5612738729","6363219909.5125474930",
"2021-09-28 00:00","1.0010013216","7734421.8236400560","6363197458.5851783752",
"2021-09-27 00:00","1.0026293870","7171743.7993880939","6373546797.1743373871",
"2021-09-26 00:00","1.0021740854","11237072.1133152805","6355788972.3871335983",
"2021-09-25 00:00","1.0014944392","9797163.5504395459","6308818094.2653751373",
"2021-09-24 00:00","1.0013664642","24631661.6255473867","6308011927.9089298248",
"2021-09-23 00:00","1.0014172291","18290381.9044707045","6308331716.3153543472",
"2021-09-22 00:00","1.0001776370","24791356.3722613938","6300523025.3320989609",
"2021-09-21 00:00","1.0010157169","21217596.9575713240","6585282831.9241695404",
"2021-09-20 00:00","1.0031684370","26042195.4772937223","6599444718.0076351166",
"2021-09-19 00:00","1.0010525762","8083501.5023984751","6605668501.2693939209",
